study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
8,41,No,51,Fail
15,48,Yes,89,Pass
6,77,No,24,Fail
2,45,Yes,49,Fail
33,78,Yes,91,Pass
13,85,No,48,Fail
29,77,No,20,Fail
11,84,No,63,Fail
18,49,Yes,63,Pass
7,45,No,32,Fail
23,94,No,97,Pass
17,91,Yes,78,Pass
35,47,No,30,Fail
36,58,No,93,Fail
13,85,Yes,25,Fail
15,89,No,30,Fail
15,95,Yes,68,Pass
18,69,No,40,Fail
24,62,Yes,54,Fail
5,78,Yes,88,Pass
16,50,No,68,Fail
18,99,Yes,61,Pass
4,54,Yes,60,Fail
26,57,Yes,47,Fail
37,96,No,47,Fail
32,65,No,38,Fail
17,48,Yes,91,Pass
35,56,No,94,Fail
26,63,Yes,37,Fail
33,71,Yes,26,Pass
8,49,Yes,74,Fail
39,44,No,68,Fail
39,69,No,90,Fail
1,83,Yes,88,Pass
18,89,No,34,Fail
19,67,Yes,78,Pass
1,86,No,84,Fail
12,72,Yes,100,Pass
20,93,Yes,39,Pass
24,88,Yes,89,Pass
34,98,Yes,96,Pass
21,71,Yes,34,Pass
24,96,No,50,Fail
4,55,Yes,30,Fail
32,92,Yes,88,Pass
9,48,No,90,Fail
11,56,No,47,Fail
35,88,Yes,59,Pass
26,82,No,76,Pass
34,68,Yes,51,Fail
15,44,No,22,Fail
38,75,Yes,95,Pass
15,40,Yes,100,Pass
4,54,Yes,24,Fail
22,44,Yes,55,Fail
32,53,Yes,93,Pass
37,70,Yes,80,Pass
27,52,Yes,32,Fail
28,62,No,72,Fail
30,95,Yes,32,Pass
4,65,No,33,Fail
16,52,Yes,88,Pass
29,48,No,43,Fail
18,69,Yes,29,Fail
29,91,Yes,26,Pass
35,93,Yes,31,Pass
16,50,No,82,Fail
31,53,No,27,Fail
11,64,Yes,69,Fail
17,99,No,56,Fail
28,84,No,39,Fail
13,58,Yes,27,Fail
38,87,Yes,60,Pass
4,43,No,84,Fail
34,50,Yes,85,Pass
6,94,Yes,28,Fail
39,44,Yes,71,Pass
8,100,Yes,94,Pass
39,42,Yes,73,Pass
38,76,No,53,Fail
14,82,No,50,Fail
17,65,Yes,58,Fail
30,60,Yes,21,Fail
30,79,Yes,29,Pass
35,53,No,36,Fail
23,96,Yes,51,Pass
24,58,Yes,76,Pass
35,85,No,98,Pass
34,40,No,33,Fail
9,56,Yes,33,Fail
36,49,No,56,Fail
39,53,No,46,Fail
17,72,No,52,Fail
4,45,No,55,Fail
3,40,No,36,Fail
17,50,No,90,Fail
28,75,Yes,34,Pass
5,100,Yes,89,Pass
3,93,No,94,Fail
36,49,No,36,Fail
3,59,No,25,Fail
23,53,Yes,33,Fail
23,89,No,99,Pass
10,99,Yes,40,Fail
12,96,No,23,Fail
12,87,No,72,Fail
16,57,Yes,33,Fail
25,95,Yes,80,Pass
15,52,No,64,Fail
20,92,Yes,48,Pass
2,82,Yes,71,Pass
22,57,Yes,55,Fail
23,81,No,88,Pass
22,100,Yes,34,Pass
17,51,No,24,Fail
7,78,No,64,Fail
21,67,Yes,69,Pass
37,52,No,25,Fail
28,40,Yes,66,Pass
28,44,No,99,Fail
21,82,Yes,58,Pass
33,59,No,61,Fail
26,84,No,90,Pass
9,52,No,68,Fail
12,79,No,71,Fail
36,93,Yes,58,Pass
19,53,No,94,Fail
39,81,No,79,Pass
29,68,Yes,85,Pass
31,90,Yes,30,Pass
19,72,No,31,Fail
16,83,No,48,Fail
13,49,Yes,25,Fail
16,70,Yes,78,Pass
27,96,Yes,69,Pass
32,65,Yes,38,Fail
1,97,Yes,74,Pass
15,51,No,26,Fail
36,55,Yes,78,Pass
9,91,No,87,Fail
36,78,No,76,Pass
40,92,No,90,Pass
29,97,Yes,80,Pass
29,56,Yes,55,Fail
34,71,Yes,55,Pass
29,44,No,50,Fail
18,61,No,89,Fail
6,48,Yes,49,Fail
25,84,Yes,47,Pass
5,66,No,62,Fail
35,69,No,27,Fail
14,93,No,69,Fail
38,100,Yes,93,Pass
25,70,Yes,65,Pass
20,88,No,73,Pass
35,87,Yes,82,Pass
15,57,No,82,Fail
2,64,No,71,Fail
11,93,No,36,Fail
40,74,Yes,70,Pass
38,76,Yes,30,Pass
28,48,No,43,Fail
4,56,No,61,Fail
14,69,No,63,Fail
25,57,No,52,Fail
6,70,Yes,89,Pass
4,100,No,48,Fail
5,89,Yes,23,Fail
16,52,Yes,99,Pass
10,55,Yes,80,Fail
8,76,Yes,79,Pass
17,89,No,41,Fail
39,78,Yes,40,Pass
20,46,Yes,59,Fail
37,83,No,70,Pass
13,44,Yes,33,Fail
20,94,Yes,92,Pass
3,62,No,67,Fail
5,72,No,21,Fail
27,92,No,33,Fail
28,63,No,39,Fail
28,51,No,98,Fail
35,89,No,79,Pass
28,92,No,61,Pass
16,93,Yes,55,Pass
29,55,No,92,Fail
40,82,No,63,Pass
2,71,No,43,Fail
32,53,No,53,Fail
22,57,No,91,Fail
1,73,Yes,30,Fail
16,86,No,82,Pass
36,88,Yes,80,Pass
32,68,Yes,31,Fail
19,54,No,51,Fail
20,82,No,80,Pass
36,73,No,74,Pass
36,61,No,78,Fail
18,59,No,49,Fail
8,86,Yes,60,Pass
